pm\mA;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1
86.5;41.55;37.4;33.25;29.1;24.95;20.8;16.65;12.5;8.35;4.2
87.5;40.35;36.39;32.43;28.47;24.51;20.54;16.58;12.62;8.66;4.7
88.5;35.95;32.43;28.91;25.38;21.86;18.34;14.82;11.29;7.77;4.25
89.4;34.35;30.97;27.59;24.22;20.84;17.46;14.08;10.71;7.33;3.95
90.4;30.1;27.16;24.22;21.28;18.34;15.41;12.47;9.53;6.59;3.65
91.4;31;28.06;25.11;22.17;19.22;16.28;13.33;10.39;7.44;4.5
92.3;29.7;26.88;24.07;21.25;18.43;15.62;12.8;9.98;7.17;4.35
93.3;25;22.57;20.13;17.7;15.27;12.83;10.4;7.97;5.53;3.1
94.3;22;19.84;17.69;15.53;13.38;11.22;9.07;6.91;4.76;2.6
95.2;19.2;17.4;15.6;13.8;12;10.2;8.4;6.6;4.8;3
96.2;17.25;15.59;13.94;12.28;10.63;8.97;7.32;5.66;4.01;2.35
97.2;16.1;14.54;12.98;11.42;9.86;8.29;6.73;5.17;3.61;2.05
98.1;16.3;14.69;13.08;11.47;9.86;8.24;6.63;5.02;3.41;1.8
99.1;14;12.62;11.24;9.87;8.49;7.11;5.73;4.36;2.98;1.6
100.1;13.8;12.44;11.09;9.73;8.38;7.02;5.67;4.31;2.96;1.6
101;12.35;11.17;9.98;8.8;7.62;6.43;5.25;4.07;2.88;1.7
102;12.6;11.33;10.07;8.8;7.53;6.27;5;3.73;2.47;1.2
103;11.1;10.06;9.02;7.98;6.94;5.91;4.87;3.83;2.79;1.75
103.9;12;10.83;9.66;8.48;7.31;6.14;4.97;3.79;2.62;1.45
104.9;11.2;10.17;9.14;8.12;7.09;6.06;5.03;4.01;2.98;1.95
105.9;10.25;9.27;8.28;7.3;6.32;5.33;4.35;3.37;2.38;1.4
106.8;12.75;11.56;10.37;9.18;7.99;6.81;5.62;4.43;3.24;2.05
107.8;12;10.83;9.66;8.48;7.31;6.14;4.97;3.79;2.62;1.45
108.8;10.15;9.17;8.18;7.2;6.22;5.23;4.25;3.27;2.28;1.3
109.7;12.75;11.54;10.33;9.12;7.91;6.69;5.48;4.27;3.06;1.85
110.7;12.65;11.47;10.28;9.1;7.92;6.73;5.55;4.37;3.18;2
111.7;12.05;10.91;9.77;8.63;7.49;6.36;5.22;4.08;2.94;1.8
112.6;11.8;10.71;9.61;8.52;7.42;6.33;5.23;4.14;3.04;1.95
113.6;12.6;11.33;10.07;8.8;7.53;6.27;5;3.73;2.47;1.2
114.6;12.65;11.42;10.19;8.97;7.74;6.51;5.28;4.06;2.83;1.6
115.5;11.15;10.15;9.15;8.15;7.15;6.15;5.15;4.15;3.15;2.15
116.5;11.45;10.37;9.29;8.22;7.14;6.06;4.98;3.91;2.83;1.75
117.5;10.45;9.44;8.44;7.43;6.43;5.42;4.42;3.41;2.41;1.4
118.4;10.1;9.11;8.12;7.13;6.14;5.16;4.17;3.18;2.19;1.2
119.4;11.25;10.16;9.07;7.98;6.89;5.81;4.72;3.63;2.54;1.45
120.4;11.55;10.42;9.29;8.17;7.04;5.91;4.78;3.66;2.53;1.4
121.3;10.05;9.1;8.15;7.2;6.25;5.3;4.35;3.4;2.45;1.5
122.3;12.1;10.92;9.74;8.57;7.39;6.21;5.03;3.86;2.68;1.5
;;;;;;;;;;
25.6;4.2;3.81;3.41;3.02;2.62;2.23;1.83;1.44;1.04;0.65
26.6;3.95;3.59;3.24;2.88;2.53;2.17;1.82;1.46;1.11;0.75
27.6;4.15;3.75;3.35;2.95;2.55;2.15;1.75;1.35;0.95;0.55
